curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
85,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
86,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
87,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
88,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
89,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
90,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
91,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
92,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
93,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
94,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
95,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
96,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
97,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
98,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
99,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
100,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
101,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
102,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
103,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
104,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
105,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
