curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
170,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
171,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
172,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
173,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
174,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
175,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
176,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
177,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
178,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
179,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
180,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
181,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
182,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
183,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
184,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
185,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
186,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
187,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
188,0.7292654028436019,['H1DS7', 'H1PF2', 'H2TO15', 'H2GH25', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H1ED18', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H1TO3', 'H1PF34', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H2PF29', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2DS10', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP10', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17', 'H2FV7', 'PA56', 'H2DS12', 'H1FS14', 'S60L'],76,12,68
